date_id,date,day,day_of_the_week,month,quarter,year
0,2013-01-01,1,Tuesday,January,1,2013
20,2013-04-22,22,Monday,April,2,2013
70,2013-09-27,27,Friday,September,3,2013
73,2013-10-12,12,Saturday,October,4,2013
86,2014-01-01,1,Wednesday,January,1,2014
91,2014-01-06,6,Monday,January,1,2014
92,2014-01-07,7,Tuesday,January,1,2014
1483,2017-11-01,1,Wednesday,November,4,2017
95,2014-01-10,10,Friday,January,1,2014
97,2014-01-12,12,Sunday,January,1,2014
99,2014-01-14,14,Tuesday,January,1,2014
108,2014-01-23,23,Thursday,January,1,2014
111,2014-01-26,26,Sunday,January,1,2014
112,2014-01-27,27,Monday,January,1,2014
115,2014-01-30,30,Thursday,January,1,2014
322,2014-08-25,25,Monday,August,3,2014
120,2014-02-04,4,Tuesday,February,1,2014
123,2014-02-07,7,Friday,February,1,2014
132,2014-02-16,16,Sunday,February,1,2014
1042,2016-08-16,16,Tuesday,August,3,2016
136,2014-02-20,20,Thursday,February,1,2014
141,2014-02-25,25,Tuesday,February,1,2014
143,2014-02-27,27,Thursday,February,1,2014
920,2016-04-15,15,Friday,April,2,2016
1141,2016-11-23,23,Wednesday,November,4,2016
1237,2017-02-28,28,Tuesday,February,1,2017
1401,2017-08-11,11,Friday,August,3,2017
153,2014-03-09,9,Sunday,March,1,2014
158,2014-03-14,14,Friday,March,1,2014
165,2014-03-21,21,Friday,March,1,2014
167,2014-03-23,23,Sunday,March,1,2014
173,2014-03-29,29,Saturday,March,1,2014
176,2014-04-01,1,Tuesday,April,2,2014
180,2014-04-05,5,Saturday,April,2,2014
673,2015-08-12,12,Wednesday,August,3,2015
195,2014-04-20,20,Sunday,April,2,2014
1580,2018-02-06,6,Tuesday,February,1,2018
1119,2016-11-01,1,Tuesday,November,4,2016
204,2014-04-29,29,Tuesday,April,2,2014
452,2015-01-02,2,Friday,January,1,2015
1595,2018-02-21,21,Wednesday,February,1,2018
205,2014-04-30,30,Wednesday,April,2,2014
207,2014-05-02,2,Friday,May,2,2014
208,2014-05-03,3,Saturday,May,2,2014
210,2014-05-05,5,Monday,May,2,2014
213,2014-05-08,8,Thursday,May,2,2014
825,2016-01-11,11,Monday,January,1,2016
1462,2017-10-11,11,Wednesday,October,4,2017
781,2015-11-28,28,Saturday,November,4,2015
1209,2017-01-31,31,Tuesday,January,1,2017
226,2014-05-21,21,Wednesday,May,2,2014
522,2015-03-13,13,Friday,March,1,2015
228,2014-05-23,23,Friday,May,2,2014
232,2014-05-27,27,Tuesday,May,2,2014
692,2015-08-31,31,Monday,August,3,2015
1206,2017-01-28,28,Saturday,January,1,2017
969,2016-06-03,3,Friday,June,2,2016
