city,tot_city_gravity,state,average_state_gravity
Abbeville                     ,29,Mississippi                   ,16
Aberdeen                      ,24,South Dakota                  ,11
Abilene                       ,16,Kansas                        ,15
Abilene                       ,46,Texas                         ,26
Acworth                       ,53,Georgia                       ,27
Ada                           ,34,Oklahoma                      ,20
Adelanto                      ,31,California                    ,28
Adger                         ,35,Alabama                       ,17
Aiken                         ,166,South Carolina                ,29
Akron                         ,382,Ohio                          ,27
Alameda                       ,51,California                    ,28
Albany                        ,53,Oregon                        ,21
Albany                        ,197,New York                      ,22
Albany                        ,113,Georgia                       ,27
Albuquerque                   ,369,New Mexico                    ,38
Aleknagik                     ,21,Alaska                        ,16
Alexander                     ,44,Arkansas                      ,14
Alexandria                    ,165,Louisiana                     ,37
Alexandria                    ,48,Virginia                      ,17
Alexandria                    ,16,Minnesota                     ,13
Aliquippa                     ,41,Pennsylvania                  ,17
Allen                         ,28,Texas                         ,26
Allen Park                    ,47,Michigan                      ,17
Allentown                     ,168,Pennsylvania                  ,17
Alna                          ,14,Maine                         ,8
Altoona                       ,32,Pennsylvania                  ,17
Alvaton                       ,43,Kentucky                      ,15
Alvin                         ,27,Texas                         ,26
Amarillo                      ,273,Texas                         ,26
Ames                          ,28,Iowa                          ,15
Amherst                       ,20,New Hampshire                 ,13
Amherst                       ,35,Ohio                          ,27
Amory                         ,20,Mississippi                   ,16
Anadarko                      ,28,Oklahoma                      ,20
Anaheim                       ,69,California                    ,28
Anchorage                     ,314,Alaska                        ,16
Anderson                      ,86,Indiana                       ,21
Anderson                      ,33,South Carolina                ,29
Ann Arbor                     ,182,Michigan                      ,17
Annapolis                     ,142,Maryland                      ,32
Anniston                      ,23,Alabama                       ,17
Annville                      ,30,Pennsylvania                  ,17
Anthony                       ,213,Texas                         ,26
Antioch                       ,80,Tennessee                     ,28
Antioch                       ,112,California                    ,28
Apple Valley                  ,55,California                    ,28
Appleton                      ,58,Wisconsin                     ,15
Arcadia                       ,49,California                    ,28
Arcata                        ,45,California                    ,28
Ardmore                       ,50,Oklahoma                      ,20
Arlington                     ,10,Vermont                       ,5
Arlington                     ,47,Virginia                      ,17
Arlington                     ,44,Washington                    ,29
Arlington                     ,95,Texas                         ,26
Arnoldsville                  ,43,Georgia                       ,27
Arthur City                   ,31,Texas                         ,26
Arvin                         ,98,California                    ,28
Asheville                     ,118,North Carolina                ,21
Ashland                       ,16,Kentucky                      ,15
Ashtabula                     ,44,Ohio                          ,27
Aston                         ,49,Pennsylvania                  ,17
Athens                        ,202,Georgia                       ,27
Athens                        ,41,Alabama                       ,17
Atlanta                       ,768,Georgia                       ,27
Atlantic Beach                ,27,New York                      ,22
Attleboro                     ,141,Rhode Island                  ,39
Auburn                        ,39,Maine                         ,8
Auburn                        ,29,Alabama                       ,17
Auburn                        ,62,Washington                    ,29
Auburndale                    ,65,Florida                       ,50
Augusta                       ,313,Georgia                       ,27
Aurora                        ,136,Colorado                      ,31
Aurora                        ,85,Illinois                      ,26
Austin                        ,469,Texas                         ,26
Austin                        ,79,Minnesota                     ,13
Avondale                      ,38,Arizona                       ,23
Azusa                         ,56,California                    ,28
Bagley                        ,18,Minnesota                     ,13
Baker                         ,90,Louisiana                     ,37
Bakersfield                   ,763,California                    ,28
Baltimore                     ,1616,Maryland                      ,32
Banning                       ,45,California                    ,28
Baraboo                       ,22,Wisconsin                     ,15
Barberton                     ,62,Ohio                          ,27
Barron                        ,20,Wisconsin                     ,15
Barstow                       ,30,California                    ,28
Bartlesville                  ,49,Oklahoma                      ,20
Batavia                       ,174,Illinois                      ,26
Batesville                    ,19,Arkansas                      ,14
Batesville                    ,89,Mississippi                   ,16
Bath                          ,38,South Carolina                ,29
Baton Rouge                   ,636,Louisiana                     ,37
Battle Creek                  ,202,Michigan                      ,17
Baxter                        ,20,Minnesota                     ,13
Bay City                      ,100,Michigan                      ,17
Bay Saint Louis               ,32,Mississippi                   ,16
Baytown                       ,49,Texas                         ,26
Beachwood                     ,56,Ohio                          ,27
Beacon                        ,24,New York                      ,22
Beaufort                      ,97,South Carolina                ,29
Beaumont                      ,120,Texas                         ,26
Beaver Dam                    ,20,Kentucky                      ,15
Beaverton                     ,170,Oregon                        ,21
Beckley                       ,32,West Virginia                 ,10
Bedford                       ,34,Ohio                          ,27
Beech Grove                   ,119,Indiana                       ,21
Bellbrook                     ,37,Ohio                          ,27
Belleville                    ,171,Illinois                      ,26
Belleville                    ,18,Michigan                      ,17
Bellingham                    ,43,Massachusetts                 ,42
Bellingham                    ,68,Washington                    ,29
Bellmawr                      ,51,New Jersey                    ,26
Beloit                        ,27,Wisconsin                     ,15
Belton                        ,56,South Carolina                ,29
Bemidji                       ,43,Minnesota                     ,13
Bend                          ,36,Oregon                        ,21
Bennettsville                 ,34,South Carolina                ,29
Benton                        ,33,Arkansas                      ,14
Benton                        ,19,Pennsylvania                  ,17
Benton Harbor                 ,60,Michigan                      ,17
Bentonville                   ,15,Arkansas                      ,14
Berea                         ,30,Kentucky                      ,15
Berkeley                      ,77,California                    ,28
Berlin                        ,22,New Hampshire                 ,13
Berryton                      ,30,Kansas                        ,15
Bessemer                      ,113,Alabama                       ,17
Bethalto                      ,46,Illinois                      ,26
Bethany                       ,66,Oklahoma                      ,20
Bethlehem                     ,102,Pennsylvania                  ,17
Bethpage                      ,37,New York                      ,22
Biddeford                     ,12,Maine                         ,8
Big Bend                      ,13,West Virginia                 ,10
Big Lake                      ,40,Alaska                        ,16
Big Sandy                     ,49,Texas                         ,26
Big Spring                    ,29,Texas                         ,26
Billings                      ,135,Montana                       ,10
Biloxi                        ,76,Mississippi                   ,16
Binghamton                    ,68,New York                      ,22
Birmingham                    ,556,Alabama                       ,17
Bismarck                      ,83,North Dakota                  ,11
Bloomfield Hills              ,34,Michigan                      ,17
Bloomingdale                  ,18,Michigan                      ,17
Bloomington                   ,92,Indiana                       ,21
Blue Bell                     ,22,Pennsylvania                  ,17
Blue Springs                  ,49,Missouri                      ,22
Bluefield                     ,15,West Virginia                 ,10
Bluffton                      ,94,South Carolina                ,29
Bogart                        ,70,Georgia                       ,27
Bogue Chitto                  ,21,Mississippi                   ,16
Boiling Springs               ,22,Pennsylvania                  ,17
Boise                         ,105,Idaho                         ,13
Bolivia                       ,99,North Carolina                ,21
Boone                         ,23,North Carolina                ,21
Booneville                    ,26,Mississippi                   ,16
Boonville                     ,26,Missouri                      ,22
Bossier City                  ,75,Louisiana                     ,37
Boston                        ,1833,Massachusetts                 ,42
Bothell                       ,180,Washington                    ,29
Bow                           ,21,New Hampshire                 ,13
Bowling Green                 ,57,Kentucky                      ,15
